% of respondents that “agree”,Opinion on products and services using AI,Year,Category,Country,% of respondents,Label,"% of respondents that ""Agree""",Statement,% agreeing with statement,pp. change,Response,Global opinions on the impact of AI on current jobs,Demographic group,Party,Policy
,,,,Global,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Global,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%,,,,,
,,,,Global,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%,,,,,
,,,,Global,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-3%,,,,,
,,,,Global,,,,Products and services using  artificial intelligence  make me excited ,,-1%,,,,,
,,,,Global,,,,Products and services using artificial  intelligence make me nervous ,,-2%,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,3%,,,,,
,,,,Argentina,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-1%,,,,,
,,,,Argentina,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,1%,,,,,
,,,,Argentina,,,,Products and services using  artificial intelligence  make me excited ,,6%,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence make me nervous ,,0%,,,,,
,,,,Argentina,,,,I know which types of products and  services use artificial intelligence ,,7%,,,,,
,,,,Argentina,,,,I have a good understanding of what  artificial intelligence is ,,4%,,,,,
,,,,Australia,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%,,,,,
,,,,Australia,,,,I have a good understanding of what  artificial intelligence is ,,4%,,,,,
,,,,Australia,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Australia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,0%,,,,,
,,,,Australia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-1%,,,,,
,,,,Australia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-6%,,,,,
,,,,Australia,,,,Products and services using  artificial intelligence  make me excited ,,-1%,,,,,
,,,,Australia,,,,Products and services using artificial  intelligence make me nervous ,,-4%,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence make me nervous ,,1%,,,,,
,,,,Belgium,,,,I know which types of products and  services use artificial intelligence ,,2%,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,3%,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,8%,,,,,
,,,,Belgium,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%,,,,,
,,,,Belgium,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,0%,,,,,
,,,,Belgium,,,,Products and services using  artificial intelligence  make me excited ,,-1%,,,,,
,,,,Belgium,,,,I have a good understanding of what  artificial intelligence is ,,8%,,,,,
,,,,Brazil,,,,I have a good understanding of what  artificial intelligence is ,,-9%,,,,,
,,,,Brazil,,,,I know which types of products and  services use artificial intelligence ,,-5%,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-9%,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-7%,,,,,
,,,,Brazil,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-9%,,,,,
,,,,Brazil,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-11%,,,,,
,,,,Brazil,,,,Products and services using  artificial intelligence  make me excited ,,-9%,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence make me nervous ,,-4%,,,,,
,,,,Canada,,,,I have a good understanding of what  artificial intelligence is ,,6%,,,,,
,,,,Canada,,,,I know which types of products and  services use artificial intelligence ,,-2%,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,6%,,,,,
,,,,Canada,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%,,,,,
,,,,Canada,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-6%,,,,,
,,,,Canada,,,,Products and services using  artificial intelligence  make me excited ,,0%,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence make me nervous ,,0%,,,,,
,,,,Chile,,,,I know which types of products and  services use artificial intelligence ,,-4%,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%,,,,,
,,,,Chile,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%,,,,,
,,,,Chile,,,,Products and services using  artificial intelligence  make me excited ,,-4%,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence make me nervous ,,-3%,,,,,
,,,,Chile,,,,I have a good understanding of what  artificial intelligence is ,,-4%,,,,,
,,,,Chile,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-1%,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,9%,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence make me nervous ,,2%,,,,,
,,,,Colombia,,,,Products and services using  artificial intelligence  make me excited ,,1%,,,,,
,,,,Colombia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-3%,,,,,
,,,,Colombia,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,5%,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Colombia,,,,I know which types of products and  services use artificial intelligence ,,6%,,,,,
,,,,Colombia,,,,I have a good understanding of what  artificial intelligence is ,,-2%,,,,,
,,,,France,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,2%,,,,,
,,,,France,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,3%,,,,,
,,,,France,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,5%,,,,,
,,,,France,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,France,,,,I know which types of products and  services use artificial intelligence ,,3%,,,,,
,,,,France,,,,I have a good understanding of what  artificial intelligence is ,,3%,,,,,
,,,,France,,,,Products and services using  artificial intelligence  make me excited ,,3%,,,,,
,,,,France,,,,Products and services using artificial  intelligence make me nervous ,,-3%,,,,,
,,,,Germany,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,2%,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,6%,,,,,
,,,,Germany,,,,I know which types of products and  services use artificial intelligence ,,1%,,,,,
,,,,Germany,,,,I have a good understanding of what  artificial intelligence is ,,-1%,,,,,
,,,,Germany,,,,Products and services using  artificial intelligence  make me excited ,,3%,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence make me nervous ,,-2%,,,,,
,,,,Germany,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,1%,,,,,
,,,,Great Britain,,,,I have a good understanding of what  artificial intelligence is ,,-1%,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence make me nervous ,,-1%,,,,,
,,,,Great Britain,,,,I know which types of products and  services use artificial intelligence ,,-2%,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,3%,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%,,,,,
,,,,Great Britain,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%,,,,,
,,,,Great Britain,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%,,,,,
,,,,Great Britain,,,,Products and services using  artificial intelligence  make me excited ,,-3%,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,2%,,,,,
,,,,Hungary,,,,Products and services using  artificial intelligence  make me excited ,,1%,,,,,
,,,,Hungary,,,,I know which types of products and  services use artificial intelligence ,,3%,,,,,
,,,,Hungary,,,,I have a good understanding of what  artificial intelligence is ,,2%,,,,,
,,,,Hungary,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,4%,,,,,
,,,,Hungary,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence make me nervous ,,-2%,,,,,
,,,,India,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%,,,,,
,,,,India,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,0%,,,,,
,,,,India,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,India,,,,I have a good understanding of what  artificial intelligence is ,,0%,,,,,
,,,,India,,,,Products and services using  artificial intelligence  make me excited ,,-3%,,,,,
,,,,India,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-4%,,,,,
,,,,India,,,,Products and services using artificial  intelligence make me nervous ,,-6%,,,,,
,,,,India,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%,,,,,
,,,,Indonesia,,,,Products and services using  artificial intelligence  make me excited ,,1%,,,,,
,,,,Indonesia,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-7%,,,,,
,,,,Indonesia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,1%,,,,,
,,,,Indonesia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-1%,,,,,
,,,,Indonesia,,,,I know which types of products and  services use artificial intelligence ,,4%,,,,,
,,,,Indonesia,,,,I have a good understanding of what  artificial intelligence is ,,2%,,,,,
,,,,Indonesia,,,,Products and services using artificial  intelligence make me nervous ,,0%,,,,,
,,,,Indonesia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%,,,,,
,,,,Ireland,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,3%,,,,,
,,,,Ireland,,,,Products and services using artificial  intelligence make me nervous ,,5%,,,,,
,,,,Ireland,,,,Products and services using  artificial intelligence  make me excited ,,2%,,,,,
,,,,Ireland,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,1%,,,,,
,,,,Ireland,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,5%,,,,,
,,,,Ireland,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,10%,,,,,
,,,,Ireland,,,,I have a good understanding of what  artificial intelligence is ,,8%,,,,,
,,,,Ireland,,,,I know which types of products and  services use artificial intelligence ,,4%,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-3%,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%,,,,,
,,,,Italy,,,,I know which types of products and  services use artificial intelligence ,,1%,,,,,
,,,,Italy,,,,I have a good understanding of what  artificial intelligence is ,,-2%,,,,,
,,,,Italy,,,,Products and services using  artificial intelligence  make me excited ,,-1%,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence make me nervous ,,-7%,,,,,
,,,,Italy,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,2%,,,,,
,,,,Italy,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,7%,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%,,,,,
,,,,Japan,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-4%,,,,,
,,,,Japan,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-4%,,,,,
,,,,Japan,,,,Products and services using  artificial intelligence  make me excited ,,-4%,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence make me nervous ,,1%,,,,,
,,,,Japan,,,,I have a good understanding of what  artificial intelligence is ,,1%,,,,,
,,,,Japan,,,,I know which types of products and  services use artificial intelligence ,,2%,,,,,
,,,,Malaysia,,,,Products and services using  artificial intelligence  make me excited ,,-5%,,,,,
,,,,Malaysia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-8%,,,,,
,,,,Malaysia,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-6%,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-7%,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-6%,,,,,
,,,,Malaysia,,,,I know which types of products and  services use artificial intelligence ,,-7%,,,,,
,,,,Malaysia,,,,I have a good understanding of what  artificial intelligence is ,,-4%,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence make me nervous ,,-5%,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,5%,,,,,
,,,,Mexico,,,,I have a good understanding of what  artificial intelligence is ,,5%,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,Mexico,,,,I know which types of products and  services use artificial intelligence ,,4%,,,,,
,,,,Mexico,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%,,,,,
,,,,Mexico,,,,Products and services using  artificial intelligence  make me excited ,,-4%,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence make me nervous ,,0%,,,,,
,,,,Mexico,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,4%,,,,,
,,,,Netherlands,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%,,,,,
,,,,Netherlands,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%,,,,,
,,,,Netherlands,,,,I know which types of products and  services use artificial intelligence ,,-4%,,,,,
,,,,Netherlands,,,,I have a good understanding of what  artificial intelligence is ,,-1%,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence make me nervous ,,-1%,,,,,
,,,,Netherlands,,,,Products and services using  artificial intelligence  make me excited ,,-1%,,,,,
,,,,New Zealand,,,,Products and services using artificial  intelligence make me nervous ,,3%,,,,,
,,,,New Zealand,,,,I have a good understanding of what  artificial intelligence is ,,6%,,,,,
,,,,New Zealand,,,,I know which types of products and  services use artificial intelligence ,,5%,,,,,
,,,,New Zealand,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,New Zealand,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,3%,,,,,
,,,,New Zealand,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%,,,,,
,,,,New Zealand,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-2%,,,,,
,,,,New Zealand,,,,Products and services using  artificial intelligence  make me excited ,,0%,,,,,
,,,,Peru,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Peru,,,,I have a good understanding of what  artificial intelligence is ,,6%,,,,,
,,,,Peru,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,2%,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,0%,,,,,
,,,,Peru,,,,Products and services using  artificial intelligence  make me excited ,,-4%,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence make me nervous ,,3%,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Peru,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,2%,,,,,
,,,,Poland,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-10%,,,,,
,,,,Poland,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Poland,,,,Products and services using  artificial intelligence  make me excited ,,-6%,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-5%,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%,,,,,
,,,,Poland,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-5%,,,,,
,,,,Poland,,,,I have a good understanding of what  artificial intelligence is ,,-1%,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence make me nervous ,,-1%,,,,,
,,,,Singapore,,,,I have a good understanding of what  artificial intelligence is ,,0%,,,,,
,,,,Singapore,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,1%,,,,,
,,,,Singapore,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Singapore,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-3%,,,,,
,,,,Singapore,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,2%,,,,,
,,,,Singapore,,,,Products and services using artificial  intelligence make me nervous ,,3%,,,,,
,,,,Singapore,,,,Products and services using  artificial intelligence  make me excited ,,-1%,,,,,
,,,,Singapore,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,4%,,,,,
,,,,South Africa,,,,Products and services using  artificial intelligence  make me excited ,,2%,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence make me nervous ,,1%,,,,,
,,,,South Africa,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,4%,,,,,
,,,,South Africa,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,6%,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,6%,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,6%,,,,,
,,,,South Africa,,,,I have a good understanding of what  artificial intelligence is ,,-2%,,,,,
,,,,South Africa,,,,I know which types of products and  services use artificial intelligence ,,4%,,,,,
,,,,South Korea,,,,I have a good understanding of what  artificial intelligence is ,,-4%,,,,,
,,,,South Korea,,,,I know which types of products and  services use artificial intelligence ,,-3%,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-2%,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%,,,,,
,,,,South Korea,,,,Products and services using  artificial intelligence  make me excited ,,-3%,,,,,
,,,,South Korea,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-4%,,,,,
,,,,South Korea,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-3%,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence make me nervous ,,-3%,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence make me nervous ,,-3%,,,,,
,,,,Spain,,,,I have a good understanding of what  artificial intelligence is ,,-1%,,,,,
,,,,Spain,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-2%,,,,,
,,,,Spain,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,1%,,,,,
,,,,Spain,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-1%,,,,,
,,,,Spain,,,,Products and services using  artificial intelligence  make me excited ,,-4%,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,0%,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-3%,,,,,
,,,,Sweden,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,0%,,,,,
,,,,Sweden,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-4%,,,,,
,,,,Sweden,,,,I have a good understanding of what  artificial intelligence is ,,-2%,,,,,
,,,,Sweden,,,,I know which types of products and  services use artificial intelligence ,,3%,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence make me nervous ,,3%,,,,,
,,,,Sweden,,,,Products and services using  artificial intelligence  make me excited ,,3%,,,,,
,,,,Thailand,,,,I have a good understanding of what  artificial intelligence is ,,-3%,,,,,
,,,,Thailand,,,,I know which types of products and  services use artificial intelligence ,,-4%,,,,,
,,,,Thailand,,,,Products and services using  artificial intelligence  make me excited ,,-4%,,,,,
,,,,Thailand,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-3%,,,,,
,,,,Thailand,,,,Products and services using artificial  intelligence make me nervous ,,-4%,,,,,
,,,,Thailand,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-1%,,,,,
,,,,Thailand,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-9%,,,,,
,,,,Thailand,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Turkey,,,,Products and services using  artificial intelligence  make me excited ,,-4%,,,,,
,,,,Turkey,,,,I have a good understanding of what  artificial intelligence is ,,1%,,,,,
,,,,Turkey,,,,I know which types of products and  services use artificial intelligence ,,-3%,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,-5%,,,,,
,,,,Turkey,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,-2%,,,,,
,,,,Turkey,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,-10%,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence make me nervous ,,-1%,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-2%,,,,,
,,,,United States,,,,Products and services using artificial  intelligence make me nervous ,,1%,,,,,
,,,,United States,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,,1%,,,,,
,,,,United States,,,,I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,,2%,,,,,
,,,,United States,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,1%,,,,,
,,,,United States,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,United States,,,,I know which types of products and  services use artificial intelligence ,,4%,,,,,
,,,,United States,,,,I have a good understanding of what  artificial intelligence is ,,1%,,,,,
,,,,United States,,,,Products and services using  artificial intelligence  make me excited ,,-1%,,,,,
,,,,Global,,,,I have a good understanding of what  artificial intelligence is ,,3%,,,,,
,,,,Global,,,,I know which types of products and  services use artificial intelligence ,,2%,,,,,
,,,,Global,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,1%,,,,,
,,,,Global,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,6%,,,,,
,,,,Global,,,,Products and services using artificial  intelligence make me nervous ,,11%,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence make me nervous ,,14%,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-5%,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,7%,,,,,
,,,,Argentina,,,,I have a good understanding of what  artificial intelligence is ,,8%,,,,,
,,,,Argentina,,,,I know which types of products and  services use artificial intelligence ,,4%,,,,,
,,,,Australia,,,,I have a good understanding of what  artificial intelligence is ,,4%,,,,,
,,,,Australia,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Australia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,3%,,,,,
,,,,Australia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,11%,,,,,
,,,,Australia,,,,Products and services using artificial  intelligence make me nervous ,,13%,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence make me nervous ,,9%,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,9%,,,,,
,,,,Belgium,,,,I have a good understanding of what  artificial intelligence is ,,5%,,,,,
,,,,Belgium,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%,,,,,
,,,,Brazil,,,,I have a good understanding of what  artificial intelligence is ,,-5%,,,,,
,,,,Brazil,,,,I know which types of products and  services use artificial intelligence ,,-1%,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,2%,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,1%,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence make me nervous ,,12%,,,,,
,,,,Canada,,,,I have a good understanding of what  artificial intelligence is ,,6%,,,,,
,,,,Canada,,,,I know which types of products and  services use artificial intelligence ,,0%,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,5%,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,17%,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence make me nervous ,,14%,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence make me nervous ,,15%,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,2%,,,,,
,,,,Chile,,,,I know which types of products and  services use artificial intelligence ,,-6%,,,,,
,,,,Chile,,,,I have a good understanding of what  artificial intelligence is ,,-11%,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-7%,,,,,
,,,,China,,,,I have a good understanding of what  artificial intelligence is ,,5%,,,,,
,,,,China,,,,I know which types of products and  services use artificial intelligence ,,5%,,,,,
,,,,China,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,5%,,,,,
,,,,China,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,6%,,,,,
,,,,China,,,,Products and services using artificial  intelligence make me nervous ,,4%,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence make me nervous ,,9%,,,,,
,,,,Colombia,,,,I have a good understanding of what  artificial intelligence is ,,0%,,,,,
,,,,Colombia,,,,I know which types of products and  services use artificial intelligence ,,-2%,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,-3%,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,12%,,,,,
,,,,France,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,,3%,,,,,
,,,,France,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,,12%,,,,,
,,,,France,,,,Products and services using artificial  intelligence make me nervous ,,17%,,,,,
,,,,France,,,,I know which types of products and  services use artificial intelligence ,,7%,,,,,
,,,,France,,,,I have a good understanding of what  artificial intelligence is ,,11%,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence make me nervous ,,7%,,,,,
